Al Kabeer Master SKU,Competitor Brand Names,Competitor Offers
CKZFDATS - Zing Chicken Fillets Tamiya,"1. Sadia
2. Seara
3. Royal
4. Al Falaq
5. Seara
6. Prime
7. Americana
8. Al Areesh
9. Al Watania Poultry
10. Freshly Foods (Fff)","1. SADIA ZING CHICKEN FILLETS 750G (750 gm)
2. Seara Chicken Fillets 750Gm (750 gm)
3. Royal Chicken Fillets 750 gm (750 gm)
4. Al Falaq Chicken Zing R Fillets 800 gm  (800 gm)
5. Seara Zingz Chicken Fillet / Strips Zingz / Fillet 750gm (750 gm)
6. Prime Chicken Zing Fillet 750 gm (750 gm)
7. Americana Zing Chicken Fillets 700 gm (700 gm)
8. Al Areesh Chicken Zing Fillets 700 gm (700 gm)
9. Al Watania Chicken Fillet Zinger Spicy 800 GM (800 gm)
10. Freshly Chicken Zing 0-Fillet 800 GM (800 gm)"
CKZFNS - ZING CHICKEN FILLET NON-SPICY,"1. Seara
2. Seara
3. Seara
4. Seara
5. Seara
6. Seara
7. Seara
8. Seara
9. Seara
10. Seara
11. Seara
12. Seara
13. Americana
14. Sadia
15. Sadia
16. Sadia
17. Sadia
18. Sadia
19. Sadia
20. Al Areesh
21. Al Areesh
22. Al Areesh
23. Al Areesh
24. Al Areesh
25. Al Areesh
26. Farm
27. Farm
28. Americana
29. Farm
30. Farm
31. Miza
32. Prime
33. Prime
34. Prime
35. Prime
36. Al Islami
37. Prime
38. Al Wadi
39. Al Wadi
40. Farm
41. Al Wadi
42. Al Wadi
43. Farm
44. Freshly Foods (Fff)
45. Freshly Foods (Fff)
46. Freshly Foods (Fff)
47. Farm Fresh
48. Nami
49. Freshly Foods (Fff)
50. Royal
51. Royal
52. Al Wadi
53. Panda
54. Royal
55. Al Wadi
56. Al Ain
57. Al Ain
58. Al Ain
59. Al Islami
60. Prime
61. Al Ain","1. Seara Chicken Fillet/Fillet Spicy 750gm (750 gm)
2. Seara Chicken Fillet/Fillet Spicy 750gm (750 gm)
3. Seara Chicken Fillet/Fillet Spicy 750gm (750 gm)
4. Seara Chicken Fillet/Fillet Spicy 750gm (750 gm)
5. Seara Chicken Fillet/Fillet Spicy 750gm (750 gm)
6. Seara Chicken Fillet/Fillet Spicy 750gm (750 gm)
7. Chicken Fillet Spicy 2x750g (750 gm)
8. Chicken Fillet Spicy 2x750g (750 gm)
9. Chicken Fillet Spicy 2x750g (750 gm)
10. Chicken Fillet Spicy 2x750g (750 gm)
11. Chicken Fillet Spicy 2x750g (750 gm)
12. Chicken Fillet Spicy 2x750g (750 gm)
13. Americana Zing Chicken Fillet 420gm x 2 Fries / popcorn/ Nuggets 400gm x 2 (2x400 gm)
14. Sadia CHICKEN ZING FILLET 750 gm (750 gm)
15. Sadia CHICKEN ZING FILLET 750 gm (750 gm)
16. Sadia CHICKEN ZING FILLET 750 gm (750 gm)
17. Sadia CHICKEN ZING FILLET 750 gm (750 gm)
18. Sadia CHICKEN ZING FILLET 750 gm (750 gm)
19. Sadia CHICKEN ZING FILLET 750 gm (750 gm)
20. Zing Chicken Fillet Non-spicy 700 gm (700 gm)
21. Zing Chicken Fillet Non-spicy 700 gm (700 gm)
22. Zing Chicken Fillet Non-spicy 700 gm (700 gm)
23. Zing Chicken Fillet Non-spicy 700 gm (700 gm)
24. Al Areesh	 Zing Chicken Fillet Spicy /Zing Fillet Non Spicy1kg (1 kg)
25. Zing Chicken Fillet Non-spicy 700 gm (700 gm)
26. Farm Chicken Fillet 750 gm   (750 gm)
27. Farm Chicken Fillet 750 gm   (750 gm)
28. ZINGZ CHICKEN FILLET 1 KG (1 kg)
29. Farm Chicken Fillet 750 gm   (750 gm)
30. Farm Chicken Fillet 750 gm   (750 gm)
31. Miza Chicken Fillet 1500 gm (1500 gm)
32. Prime Chicken Fillet Zing 750 gm (750 gm)
33. Prime Chicken Fillet Zing 750 gm (750 gm)
34. Prime Chicken Zing Fillet 750 gm (750 gm)
35. Prime Chicken Fillet Zing 750 gm (750 gm)
36. Zing Chicken Fillet / Strips (Spicy) 940 gm (940 gm)
37. Prime Chicken Zing Fillet 750 gm (750 gm)
38. AL WADI CHICKEN FILLET SPICY 750 gm (750 gm)
39. AL WADI CHICKEN FILLET SPICY 750 gm (750 gm)
40. Farm Chicken Fillet 750 gm   (750 gm)
41. AL WADI CHICKEN FILLET SPICY 750 gm (750 gm)
42. AL WADI CHICKEN FILLET SPICY 750 gm (750 gm)
43. Farm Chicken Fillet 750 gm   (750 gm)
44. Freshly Chicken Zing 0-Fillet 800 GM (800 gm)
45. Freshly Chicken Zing 0-Fillet 800 GM (800 gm)
46. Freshly Chicken Zing 0-Fillet 800 GM (800 gm)
47. Farm Fresh ZING CHICKEN FILLET/STRIPS SPICY & NON SPICY 700 gm (700 gm)
48. Nami Chicken Fillet Zing 420 gm (420 gm)
49. Freshly Chicken Zing 0-Fillet 800 GM (800 gm)
50. ROYAL CHICKEN FILLET 750GM (750 gm)
51. ROYAL CHICKEN FILLET 750GM (750 gm)
52. AL WADI CHICKEN FILLET SPICY 750 gm (750 gm)
53. Panda Chicken Fillet (750g) (750 gm)
54. ROYAL CHICKEN FILLET 750GM (750 gm)
55. AL WADI CHICKEN FILLET SPICY 750 gm (750 gm)
56. Al Ain Chicken Fillet Zing 2x400gm (400 gm)
57. Al Ain Chicken Fillet Zing 2x400gm (400 gm)
58. Al Ain Chicken Fillet Zing 2x400gm (400 gm)
59. Al Islami Zing Chicken Fillet Spicy, Zing Chicken Strips Spicy 700g (700 gm)
60. Prime Chicken Fillet Zing 750 gm (750 gm)
61. Al Ain Chicken Fillet Zing 2x400gm (400 gm)"
CKZL - ZING CHICKEN LOLLIPOP 420,,
CKZLA - ZING CHICKEN LOLLIPOP BULK (5*1KG),,
CKZN - ZING CHICKEN NUGGETS REGULAR,,
CKZNNS - ZING CHICKEN NUGGET NON-SPICY,"1. Sadia
2. Sadia
3. Lulu
4. Doux
5. Farm
6. Lulu
7. Seara
8. Farm
9. Golden Chicken
10. Seara","1. SADIA CHICKEN NUGGET 750 GM (750 gm)
2. SADIA CHICKEN NUGGET 750 GM (750 gm)
3. Lulu Chicken Nuggets 750 Gm (750 gm)
4. DOUX CHICKEN NUGGETS, 1 KG (1 kg)
5. Farm CHICKEN NUGGETS 750 gm (750 gm)
6. Lulu Chicken Nuggets 750 Gm (750 gm)
7. Seara Chicken Nuggets 2x350gm (350 gm)
8. Farm CHICKEN NUGGETS 750 gm (750 gm)
9. Golden Chicken Chicken Nuggets (750 gm) (750 gm)
10. Seara Chicken Nuggets 2x350gm (350 gm)"
CKZS - ZING CHICKEN STRIPS,,
CKZSCKNP - Zing Strips Non Spicy + Free Chicken Nuggets Combo Pack,,
CKZSDA - ZING CHICKEN STRIPS SPICY 750 GRM,"1. Bibi
2. Seara
3. Seara
4. Seara
5. Seara
6. Seara
7. Seara
8. Al Areesh
9. Al Areesh
10. Al Areesh
11. Al Areesh
12. Al Areesh
13. Bibi
14. Bibi
15. Bibi
16. Bibi
17. Bibi
18. Bibi
19. Farm Fresh
20. Farm Fresh
21. Farm Fresh
22. Farm Fresh
23. Farm Fresh
24. Nabil
25. Doux
26. Doux
27. Oggi
28. Nabil
29. Oggi
30. Seara
31. Seara
32. Seara
33. Seara
34. Seara
35. Doux
36. Nabil
37. Nabil
38. Nabil
39. Doux
40. Nabil
41. Prime
42. Prime
43. Prime
44. Prime
45. Prime
46. Sadia
47. Sadia
48. Sadia
49. Doux
50. Sadia
51. Doux
52. Americana
53. Americana
54. Americana
55. D'Pollo
56. Americana","1. Bibi Zing Chicken Strips Reg/Spicy/Popcorn 750g (750 gm)
2. Seara Chicken Strips/Strips Spicy 750gm (750 gm)
3. Seara Chicken Strips/Strips Spicy 750gm (750 gm)
4. Seara Chicken Strips/Strips Spicy 750gm (750 gm)
5. Seara Chicken Strips/Strips Spicy 750gm (750 gm)
6. Seara Chicken Strips/Strips Spicy 750gm (750 gm)
7. Seara Chicken Strips / Zing Strips 350 gm (350 gm)
8. Zing Chicken Strips Non-spicy, Zing Chicken Strips Spicy (700 gm)
9. Zing Chicken Strips Non-spicy, Zing Chicken Strips Spicy (700 gm)
10. Zing Chicken Strips Non-spicy, Zing Chicken Strips Spicy (700 gm)
11. Zing Chicken Strips Non-spicy, Zing Chicken Strips Spicy (700 gm)
12. Zing Chicken Strips Non-spicy, Zing Chicken Strips Spicy (700 gm)
13. Bibi ZING CHICKEN STRIPS SPICY 750 gm (750 gm)
14. Bibi ZING CHICKEN STRIPS SPICY 750 gm (750 gm)
15. Bibi ZING CHICKEN STRIPS SPICY 750 gm (750 gm)
16. Bibi ZING CHICKEN STRIPS SPICY 750 gm (750 gm)
17. Bibi ZING CHICKEN STRIPS SPICY 750 gm (750 gm)
18. Bibi ZING CHICKEN STRIPS SPICY 750 gm (750 gm)
19. ZING CHICKEN STRIPS (REG) 700GM PROMO ZING CHICKEN STRIPS (SPICY) T00GM PROMO (700 gm)
20. ZING CHICKEN STRIPS (REG) 700GM PROMO ZING CHICKEN STRIPS (SPICY) T00GM PROMO (700 gm)
21. ZING CHICKEN STRIPS (REG) 700GM PROMO ZING CHICKEN STRIPS (SPICY) T00GM PROMO (700 gm)
22. ZING CHICKEN STRIPS (REG) 700GM PROMO ZING CHICKEN STRIPS (SPICY) T00GM PROMO (700 gm)
23. ZING CHICKEN STRIPS (REG) 700GM PROMO ZING CHICKEN STRIPS (SPICY) T00GM PROMO (700 gm)
24. NABI CHICKEN STRIPS SPICY 750GM (750 gm)
25. Doux Chicken Strips Spicy 750gm (750 gm)
26. Doux Chicken Strips Spicy 700 gm (700 gm)
27. Oggi SPICY CHICKEN STRIPS 1 kg (1 kg)
28. NABI CHICKEN STRIPS SPICY 750GM (750 gm)
29. Oggi SPICY CHICKEN STRIPS 1 kg (1 kg)
30. Seara Chicken Strips/Zing Spicy 2x750Gm (750 gm)
31. Seara Chicken Strips/Zing Spicy 2x750Gm (750 gm)
32. Seara Chicken Strips/Zing Spicy 2x750Gm (750 gm)
33. Chicken Strips Or Spicy Chicken Strips 1500 gm (1500 gm)
34. Chicken Strips Or Spicy Chicken Strips 1500 gm (1500 gm)
35. Doux Chicken Strips Spicy 750gm (750 gm)
36. NABI CHICKEN STRIPS SPICY 750GM (750 gm)
37. NABI CHICKEN STRIPS SPICY 750GM (750 gm)
38. NABI CHICKEN STRIPS SPICY 750GM (750 gm)
39. Doux Chicken Strips Spicy 750gm (750 gm)
40. NABI CHICKEN STRIPS SPICY 750GM (750 gm)
41. Prime Chicken Zing Strips Spicy 750g (750 gm)
42. Prime Chicken Zing Strips Spicy 750g (750 gm)
43. Prime Chicken Zing Strips Spicy 750g (750 gm)
44. Prime Chicken Zing Strips Spicy 750g (750 gm)
45. Prime Chicken Zing Strips Spicy 750g (750 gm)
46. Sadia Chicken strips / spicy 750gm (750 gm)
47. Sadia Chicken strips / spicy 750gm (750 gm)
48. Sadia Chicken strips / spicy 750gm (750 gm)
49. Doux Chicken Strips Spicy 750gm (750 gm)
50. Sadia Chicken strips / spicy 750gm (750 gm)
51. Doux Chicken Strips Spicy 750gm (750 gm)
52. Chicken Strips Spicy 750 gm + 1 kg Fries Free (750 gm)
53. Chicken Strips Spicy 750 gm + 1 kg Fries Free (750 gm)
54. Chicken Strips Spicy 750 gm + 1 kg Fries Free (750 gm)
55. Zinger/Spicy Chicken Strips 2x300 gm (300 gm)
56. Chicken Strips Spicy 750 gm + 1 kg Fries Free (750 gm)"
CKZSNS - ZING CHICKEN STRIPS NON-SPICY,"1. Bibi
2. Bibi
3. Bibi
4. Farm Fresh
5. Al Areesh
6. Al Areesh
7. Al Areesh
8. Al Areesh
9. Al Areesh
10. Seara
11. Seara
12. Farm Fresh
13. Farm Fresh
14. Farm Fresh
15. Farm Fresh
16. Farm Fresh
17. Doux
18. Cucina
19. Cucina
20. Cucina
21. Cucina
22. Cucina
23. Panda
24. Seara
25. Seara
26. Seara
27. Seara
28. Seara
29. Royal
30. Prime
31. Prime
32. Prime
33. Prime
34. Prime","1. Bibi Zing Chicken Strips Reg/Spicy/Popcorn 750g (750 gm)
2. Bibi Zing Chicken Strips Reg/Spicy/Popcorn 750g (750 gm)
3. Bibi ZING CHICKEN STRIPS SPICY 750 gm (750 gm)
4. FARM FRESH ZING CHICKEN STRIPS (SPICY) 700G ZING CHICKEN POPS 2X420G (2x420 gm)
5. Zing Chicken Strips Non-spicy, Zing Chicken Strips Spicy (700 gm)
6. Zing Chicken Strips Non-spicy, Zing Chicken Strips Spicy (700 gm)
7. Zing Chicken Strips Non-spicy, Zing Chicken Strips Spicy (700 gm)
8. Zing Chicken Strips Non-spicy, Zing Chicken Strips Spicy (700 gm)
9. Zing Chicken Strips Non-spicy, Zing Chicken Strips Spicy (700 gm)
10. SEARA CHICKEN STRIPS / SPICY CHICKEN STRIPS ZING 750g (750 gm)
11. Seara Chicken Popcorn/Strips 2x350gm (2x350 gm)
12. ZING CHICKEN STRIPS 700G (700 gm)
13. ZING CHICKEN STRIPS 700G (700 gm)
14. ZING CHICKEN STRIPS 700G (700 gm)
15. ZING CHICKEN STRIPS 700G (700 gm)
16. ZING CHICKEN STRIPS 700G (700 gm)
17. Doux Chicken Strips 1+1x700 gm (700 gm)
18. Cucina Chicken Zing Strips/Strips 800g (800 gm)
19. Cucina Chicken Zing Strips/Strips 800g (800 gm)
20. Cucina Chicken Zing Strips/Strips 800g (800 gm)
21. Cucina Chicken Zing Strips/Strips 800g (800 gm)
22. Cucina Chicken Zing Strips/Strips 800g (800 gm)
23. Panda Chicken Strips 1+1x(750g) (750 gm)
24. Seara Chicken Strips/Zing Spicy 2x750Gm (750 gm)
25. Seara Chicken Strips/Zing Spicy 2x750Gm (750 gm)
26. Seara Chicken Strips/Zing Spicy 2x750Gm (750 gm)
27. Seara Chicken Strips/Zing Spicy 2x750Gm (750 gm)
28. Seara Chicken Strips/Zing Spicy 2x750Gm (750 gm)
29. Royal Chicken Strips Hot/ Royal Chicken Strips 2x750 gm (750 gm)
30. Prime Chicken Zing Strips 750gm (750 gm)
31. Prime Chicken Zing Strips 750gm (750 gm)
32. Prime Chicken Zing Strips 750gm (750 gm)
33. Prime Chicken Zing Strips 750gm (750 gm)
34. Prime Chicken Zing Strips 750gm (750 gm)"
CKZSNSAPR - AK PRO Zing Chicken Strips Non Spicy 1 kg x 10,,
CKZSSB - ZING CHICKEN STRIPS -SMOKEY BUFFALO,,
CKZSSR - ZING CHICKEN STRIPS SRIRACHA,,
CLK - LAMB KIBBEH,,
CLKA - LAMB KIBBEH BULK,,
CMBAK - MEAT BALLS,,
CMBAKA - MEAT BALLS BULK,,
CMBAKAPR - AK PRO Beef Meat Balls 1 kg x 10,,
CMSA - 12 MUTTON SAMOSAS,,
CMSAA - MUTTON SAMOSAS BULK,,
COCOS - chocolate Samosas 240 g x 20,,
CSB - BREADED SHRIMPS 250,,
CSBA - BREADED SHRIMPS BULK,,
CSJ - JUMBO PRAWNS,,
CSL - PRAWNS LARGE 400,,
CSM - PRAWNS MEDIUM 400,,
CSPCAPR - AK PRO JUMBO PRAWN CRISPIES,,
CSS - PRAWNS REGULAR,,
CSTC - TABARRUK COOKING SHRIMPS BULK,,
CSTCA - TABARRUK COOKING SHRIMPS FAMILY PACK,,
CSXL - PRAWNS EXTRA LARGE,,
CTBK - TURKISH BEEF KEBABS 360,,
CVF - FELAFEL,,
CVFA - FELAFEL BULK,,
CVFAG - FELAFEL GREEN BULK,,
CVJCS - JALAPENO & CHEESE STICKS 250,,
CVPS - FROZEN PUNJABI SAMOSA,,
CVSA - 12 VEGETABLE SAMOSAS,,
CVSAA - VEGETABLE SAMOSAS BULK,,
CVSAP - VEGETABLE SAMOSA TWIN PROMO PACK,,
CVSAPR - AK PRO VEGETABLE SAMOSA,,
CVSF - STUFFED FELAFEL,,
CVSR - 8 VEGETABLE SPRING ROLLS,,
CVSRA - VEGETABLE SPRING ROLLS BULK (5*1120G),,
CVSRP - 8 VEGETABLE SPRING ROLLS TWIN PROMO PACK,,
CZFNSCFHP - Zing Chicken Fillets Non Spicy + Free Chicken Fillets Spicy,,
CZSB - Zing Shrimps,"1. Americana
2. Al Islami","1. Zings Breaded Shrimps 400gm (400 gm)
2. Al Islami Zing Shrimps 2 x 350g (350 gm)"
FCD - CREAM DORI FISH FILLETS,,
FFW1 - WHITE FISH FILLET 1KG,,
FSAPR - AK PRO FISH FILLET,,
FSFT - TABARRUK SUTCHI FISH FILLET,"1. Tabarruk
2. Non Branded
3. others","1. TABARRUK SUTCHI FISH FILLET 2 KG (2 kg)
2. Fish Fillet 2x1 kg (1 kg)
3.  White Fish Fillet 2 kg (2 kg)"
LBVL - BONELESS VEAL LOCAL,,
LQUL - FROZEN QUAIL,,
MC40 - MUTTON CUBES,,
MRC - MUTTON RIB CHOPS,,
SFM - FISH MILK,,
SVPRP - PARATHA PLAIN PROMO  400gmsx3 Pktsx8,,
VBBD - BLACKBERRIES 350GM,,
VBLU - BLUEBERRY,,
VBLUD - BLUEBERRIES 350GM,,
VCB10A - BONELESS CHICKEN BREAST 10,,
VCOB - 8 CORN ON THE COB,,
VECC - CORN ON THE COB,,
VF6APR - AK PRO French Fries 2.5 kg x 4 (6x6 MM),,
VF6SAPR - AK PRO French Fries Salted & Coated 2.5 kg x 4 (6x6 MM),,
VFA - FRENCH FRIES 2.5x4,,
VFAPR - AK PRO FRENCH FRIES BULK,,
VFDC - Chicken Frank 340 G  x 24,,
VFFA - FRENCH FRIES 1,,
VFFATC - Thin Cut French Fries 1 kg x 10 pkts,,
VFKJ - CHICKEN JUMBO HOT DOGS,,
VFKJC - Chicken jumbo Hot Dogs 400 g x  24,,
VHBP - HASH BROWNS,,
VHBPA - HASH BROWN,,
VKCCSC - Chicken Cocktail  Frank 300 G  x 24,,
VMB - MIX BERRIES 400x20,,
VMBBD - Mix Berries 350 g. x 20,,
VMP - MANGO PULP NEW,,
VMS - MANGO SLICES,,
VPAN - PANEER CUBES,,
VPAN500 - PANEER CUBES 500,,
VPB - POTATO BITES,,
VPCR - Chocolate Paratha 270 g. x 24,,
VPMR - MALABAR PARATHA,,
VPR - PLAIN PARATHA,,
VPRP - PLAIN PARATHA PROMO,,
VPRW - PARATHA ROLL WHEAT,,
VPRWWP - Plain Paratha + Free Wheat Paratha Promo 400+400 g. x 12,,
VPS - PUNJABI SAMOSA,,
VRTP - TAY. PARATHA PLAIN,,
VSB - STRAWBERRIES,,
VSBAPR - AK PRO Strawberries 1 kg x 8,,
VSC - SWEET CORN 400,,
VSC10 - SWEET CORN BULK,,
VSW - SEASONED WEDGES,,
"VTOR - TORTILLA WRAPS HOT  N  SPICY 10.5""",,
"VTORP - TORTILLA WRAPS PLAIN 8""",,
VTORP10 - TORTILLA WRAPS PLAIN 10.5 INCHES,,
"VTORS - TORTILLA WRAPS HOT  N  SPICY 8""",,
VVGP - GREEN PEAS,,
VVGP9 - GREEN PEAS 900,,
VVGPC - Green Peas with Carrots,,
VVGPC9 - Green Peas with Carrots 900,,
VVMV - MIXED VEGETABLES 400,,
VVMV9 - MIXED VEGETABLES 900,,
VWF - WAFFLE FRIES,,
